snippet,video,value
58334b0e056ad1cdd58e1fee2b4f6f9e,ca9391b22aad40ef09e043b52beae086,0.0
58334b0e056ad1cdd58e1fee2b4f6f9e,1c5ce5de8f6bb1315a858d3b750bab43,0.0
58334b0e056ad1cdd58e1fee2b4f6f9e,3e79d4a1d67ff174fbb7191864f046ad,0.0
58334b0e056ad1cdd58e1fee2b4f6f9e,c8da287e129c7c4fded3805d805b7d63,0.0
58334b0e056ad1cdd58e1fee2b4f6f9e,0d4012c5eff827eb0d18f279b3c70afe,0.0
58334b0e056ad1cdd58e1fee2b4f6f9e,aefd1c7dcbfd1aa62b9a6687ded1bba2,0.0
58334b0e056ad1cdd58e1fee2b4f6f9e,95afb9a285e814e3f3191433a78d4dc4,0.0
58334b0e056ad1cdd58e1fee2b4f6f9e,7eea61c02a51fe8347f00a84f741da94,0.0
58334b0e056ad1cdd58e1fee2b4f6f9e,7868cadb0eff51d14ea159c0632d0e19,0.0
58334b0e056ad1cdd58e1fee2b4f6f9e,ad65654eeca969ebd7dbd24b53ad8272,0.0
58334b0e056ad1cdd58e1fee2b4f6f9e,7255ba85b14b4cbc70ac412622ec6f1d,0.0
58334b0e056ad1cdd58e1fee2b4f6f9e,ae8e91e217b6085ee9462d3ad03d225d,0.0
58334b0e056ad1cdd58e1fee2b4f6f9e,6105d7633eea6fd8bf7a81a1ada822ca,0.0
58334b0e056ad1cdd58e1fee2b4f6f9e,991d7fe729d4b92a34231850ea5bf21f,0.0
58334b0e056ad1cdd58e1fee2b4f6f9e,648cdaba7eaa1e81d69eda8867713c2b,0.0
58334b0e056ad1cdd58e1fee2b4f6f9e,a5ffeda9bce341144896a2a83e43fc36,0.0
58334b0e056ad1cdd58e1fee2b4f6f9e,3fbddf8a3aa0175574cf10b6ade7badb,0.0
58334b0e056ad1cdd58e1fee2b4f6f9e,cb92594b1fcb013068518013d79e82fe,0.0
58334b0e056ad1cdd58e1fee2b4f6f9e,44b68daa96e198c2263e3785616ab8d0,0.0
58334b0e056ad1cdd58e1fee2b4f6f9e,ef873ba1803af659d9e37d23b6ab682a,0.0
58334b0e056ad1cdd58e1fee2b4f6f9e,84b5cf13e9ba10d7140275e598a7a837,0.0
58334b0e056ad1cdd58e1fee2b4f6f9e,65fbdbc3e06179878099c1fea2b49b94,0.0
58334b0e056ad1cdd58e1fee2b4f6f9e,72ff6fc3b7915c1eccf362cb2f0913e7,0.0
